127.0.0.1 - - [26/Apr/2017:21:15:40 -0700] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:15:46 -0700] "GET /Lab22/Add.html HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:16:36 -0700] "GET /Lab22/Add.html HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:17:14 -0700] "GET /Lab22/Add.html HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:17:41 -0700] "GET /Lab22/Add.html HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:18:45 -0700] "GET /Lab22/Add.html HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:20:04 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:21:32 -0700] "GET /Lab22/Add.html HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:34:58 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 200 776
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:35:14 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:35:50 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:43:13 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:45:35 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:46:06 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:47:34 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:49:19 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 200 806
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:51:12 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:51:45 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 200 808
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:52:23 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:52:27 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:55:10 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:55:56 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:56:23 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:56:24 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:57:24 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:57:26 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:58:16 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:58:43 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:58:50 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:59:42 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 200 883
